STATE_ABBR,COUNTY,TOTAL_POPULATION,POP_ONE_RACE,WHITE,BLACK,AMARICAN_INDIAN,ASIAN,HAWAIIAN,OTHER
CT,Fairfield County,957419,854584,584184,106756,4369,51341,347,107587
CT,Hartford County,899498,819125,554184,127194,3145,53844,328,80430
CT,Litchfield County,185186,172181,158774,3348,511,3486,67,5995
CT,Middlesex County,164245,152898,134715,8565,392,4987,50,4189
CT,New Haven County,864835,782472,543831,118933,4058,37520,470,77660
CT,New London County,268555,244341,201548,16026,2488,10814,255,13210
CT,Tolland County,149788,140567,122869,5450,272,8465,59,3452
CT,Windham County,116418,106872,95023,2403,816,1998,22,6610
MN,Aitkin County,15697,15098,14538,62,395,38,1,64
MN,Anoka County,363887,340318,280171,28657,2531,19257,105,9597
MN,Becker County,35183,32862,29818,203,2468,162,22,189
MN,Beltrami County,46228,43325,32794,543,9418,280,18,272
MN,Benton County,41379,39369,36145,2022,232,466,9,495
MN,Big Stone County,5166,5008,4832,29,49,17,4,77
MN,Blue Earth County,69112,65589,58205,3970,292,1841,33,1248
MN,Brown County,25912,25034,24321,128,51,127,6,401
MN,Carlton County,36207,34260,31151,562,2217,153,12,165
MN,Carver County,106922,101091,92448,2208,291,3641,18,2485
MN,Cass County,30066,28654,24801,73,3512,111,0,157
MN,Chippewa County,12598,11980,10653,75,131,49,296,776
MN,Chisago County,56621,53850,51394,853,339,776,6,482
MN,Clay County,65318,61458,55451,3190,1147,781,20,869
MN,Clearwater County,8524,8036,7197,23,757,23,2,34
MN,Cook County,5600,5269,4686,25,458,49,1,50
MN,Cottonwood County,11517,10942,9617,143,51,369,80,682
MN,Crow Wing County,66123,63411,61586,419,663,332,19,392
MN,Dakota County,439882,407963,330482,32740,2392,24118,222,18009
MN,Dodge County,20867,19888,19088,134,67,110,1,488
MN,Douglas County,39006,37775,36887,235,129,228,11,285
MN,Faribault County,13921,13327,12736,60,82,46,1,402
MN,Fillmore County,21228,20629,20278,101,16,71,2,161
MN,Freeborn County,30895,29038,25988,486,136,1148,5,1275
MN,Goodhue County,47582,45432,42850,685,614,348,33,902
MN,Grant County,6074,5843,5721,13,31,20,8,50
MN,Hennepin County,1281565,1190934,855122,171511,11938,97864,459,54040
MN,Houston County,18843,18253,17900,98,54,101,4,96
MN,Hubbard County,21344,20244,19265,93,581,66,13,226
MN,Isanti County,41135,39267,37888,318,213,489,13,346
MN,Itasca County,45014,42463,40371,178,1552,145,7,210
MN,Jackson County,9989,9603,9133,120,31,124,0,195
MN,Kanabec County,16032,15407,15088,67,128,84,0,40
MN,Kandiyohi County,43732,40731,35004,2649,218,590,37,2233
MN,Kittson County,4207,4073,4011,3,15,18,6,20
MN,Koochiching County,12062,11408,10975,44,284,39,12,54
MN,Lac qui Parle County,6719,6494,6290,36,15,40,0,113
MN,Lake County,10905,10488,10326,11,51,55,0,45
MN,Lake of the Woods County,3763,3576,3512,13,19,18,0,14
MN,Le Sueur County,28674,27211,25991,264,102,134,20,700
MN,Lincoln County,5640,5492,5406,10,21,22,0,33
MN,Lyon County,25269,24069,20946,922,133,1268,3,797
MN,McLeod County,36771,34792,33216,235,159,238,30,914
MN,Mahnomen County,5411,4679,2303,8,2324,7,0,37
MN,Marshall County,9040,8645,8473,13,37,19,0,103
MN,Martin County,20025,19192,18361,118,76,102,6,529
MN,Meeker County,23400,22470,21865,93,48,59,5,400
MN,Mille Lacs County,26459,25186,23281,83,1499,130,6,187
MN,Morrison County,34010,32923,32245,185,133,110,14,236
MN,Mower County,40029,37482,30804,1638,189,2072,255,2524
MN,Murray County,8179,7924,7571,26,25,105,3,194
MN,Nicollet County,34454,32928,29744,1707,178,562,15,722
MN,Nobles County,22290,20322,13109,983,459,1362,41,4368
MN,Norman County,6441,6067,5814,20,117,18,0,98
MN,Olmsted County,162847,152887,126764,11113,613,10278,83,4036
MN,Otter Tail County,60081,57521,54910,856,323,334,17,1081
MN,Pennington County,13992,13208,12434,181,203,123,6,261
MN,Pine County,28876,27448,25480,478,998,264,4,224
MN,Pipestone County,9424,8995,8159,107,126,66,0,537
MN,Polk County,31192,29438,27229,977,456,157,4,615
MN,Pope County,11308,10995,10802,39,36,50,2,66
MN,Ramsey County,552352,513151,328949,71390,4480,86079,252,22001
MN,Red Lake County,3935,3786,3647,15,60,6,5,53
MN,Redwood County,15425,14708,13250,80,846,414,1,117
MN,Renville County,14723,13925,13158,69,126,69,7,496
MN,Rice County,67097,62896,52637,4386,456,1564,10,3843
MN,Rock County,9704,9288,8997,51,56,65,10,109
MN,Roseau County,15331,14626,13762,87,241,398,10,128
MN,St. Louis County,200231,189279,177385,4189,4520,1915,67,1203
MN,Scott County,150928,141595,117201,8225,1650,10015,72,4432
